id_pais,nombre_pais,region_geografica,PBI
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR,8917.674911
CZE,REPÚBLICA  CHECA,EUROPA  CENTRAL  Y  ORIENTAL,27223.04519
COL,REPÚBLICA  DE  COLOMBIA,AMÉRICA  DEL  SUR,6624.165393
CUB,REPÚBLICA  DE  CUBA,AMÉRICA  CENTRAL  Y  CARIBE,56495.85349
GRC,REPÚBLICA  HELÉNICA,EUROPA  OCCIDENTAL,20867.26909
GTM,REPÚBLICA  DE  GUATEMALA,AMÉRICA  CENTRAL  Y  CARIBE,5473.208564
NZL,NUEVA  ZELANDIA,OCEANÍA,48418.59166
ECU,REPÚBLICA  DEL  ECUADOR,AMÉRICA  DEL  SUR,6391.282484
MEX,ESTADOS  UNIDOS  MEXICANOS,AMÉRICA  DEL  NORTE,11496.52287
IRN,REPÚBLICA  ISLÁMICA  DE  IRÁN,ASIA,4669.57138
SRB,REPÚBLICA  DE  SERBIA,EUROPA  CENTRAL  Y  ORIENTAL,9537.682867
CHL,REPÚBLICA  DE  CHILE,AMÉRICA  DEL  SUR,15355.47974
AUS,AUSTRALIA,OCEANÍA,65099.84591
BGD,REPÚBLICA  POPULAR  DE  BANGLADESH,ASIA,2688.305501
EGY,REPÚBLICA  ÁRABE  DE  EGIPTO,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE,4295.407496
ETH,REPÚBLICA  DEMOCRÁTICA  FEDERAL  DE  ETIOPÍA,ÁFRICA  SUBSAHARIANA,1027.585911
PHL,REPÚBLICA  DE  FILIPINAS,ASIA,3498.509806
IDN,REPÚBLICA  DE  INDONESIA,ASIA,4787.999308
JPN,日本国  (JAPÓN),ASIA,33823.57073
NGA,REPÚBLICA  FEDERAL  DE  NIGERIA,ÁFRICA  SUBSAHARIANA,2162.633734
NLD,REINO  DE  LOS  PAÍSES  BAJOS,EUROPA  OCCIDENTAL,57025.01246
PAN,REPÚBLICA  DE  PANAMÁ,AMÉRICA  CENTRAL  Y  CARIBE,17357.62863
UKR,UCRANIA,EUROPA  CENTRAL  Y  ORIENTAL,4533.975586
MYS,MALASIA,ASIA,11993.18761
PRY,REPÚBLICA  DEL  PARAGUAY,AMÉRICA  DEL  SUR,6153.055657
