sede_id,Red_Social,URL
CALEG,Facebook,https://www.facebook.com/argentinaenportoalegre/
CALEG,Instagram,https://www.instagram.com/argenportoalegre/
CALEG,Twitter,https://twitter.com/argportoalegre
CANTO,Facebook,https://www.facebook.com/consulado-de-la-rep%c3%bablica-argentina-en-antofagasta-255728465291743/
CAREN,Facebook,https://www.facebook.com/profile.php?id=100014152878593
CBARC,Facebook,facebook.com/argenbarcelona
CBARC,Instagram,instagram.com/argenbarcelona
CBARC,Linkedin,linkedin.com/company/consulado-y-centro-de-promoci%c3%b3n-de-la-republica-argentina-en-barcelona/mycompany/
CBARC,Twitter,twitter.com/argenbarcelona
CBELO,Facebook,https://www.facebook.com/argentinaenbelohorizonte/
CBELO,Instagram,https://www.instagram.com/consgralbelo/
CBELO,Twitter,https://twitter.com/consgralbelo
CBONN,Facebook,https://www.facebook.com/consuladoargentinoenbonn
CBONN,Instagram,http://www.instagram.com/consulado.argentino.bonn
CCADI,Facebook,www.facebook.com/argentinaencadiz
CCEST,Facebook,https://www.facebook.com/argenciudaddeleste/
CCEST,Instagram,https://www.instagram.com/argenciudaddeleste
CCHIC,Facebook,https://www.facebook.com/argentinaenchicago
CCHIC,Twitter,https://twitter.com/argenchicago
CCHIC,Youtube,https://www.youtube.com/channel/ucjz3a6ztr156ap_zg-1lqfq/featured
CCOCH,Facebook,wwww.facebook.com/argentinaencochabamba
CCOLO,Facebook,https://www.facebook.com/argentinaencolonia
CCURI,Facebook,https://www.facebook.com/argencuritiba/
CCURI,Instagram,https://instagram.com/argencuritiba
CCURI,Twitter,https://twitter.com/argencuri
CFDIG,Facebook,https://www.facebook.com/argentinaenfozdeiguazu
CFDIG,Instagram,https://www.instagram.com/argentinaenfoz/
CFDIG,Twitter,https://twitter.com/argentinaenfoz
CFLOR,Facebook,https://www.facebook.com/cflor.mrecic.gov.ar
CGMUM,Facebook,https://www.facebook.com/argenmumbai
CGMUM,Instagram,https://www.instagram.com/argenmumbai
CGMUM,Twitter,https://twitter.com/cgmum1
CGTEL,Facebook,https://www.facebook.com/argentinaenisrael/
CHOUS,Facebook,https://www.facebook.com/argentinaenhouston/
CLANG,Facebook,https://www.facebook.com/argentinaenlosangeles/?ref=aymt_homepage_panel  
CLOND,Instagram,https://www.instagram.com/consuladoargentinoenlondres/
CMADR,Facebook,https://www.facebook.com/argentinaenmadridesp/
CMALD,Facebook,https://www.facebook.com/pg/consuladoargentinoenmaldonado/posts/?ref=page_internal
CMALD,Instagram,https://www.instagram.com/consulado_argentino/
CMALL,Facebook,https://www.facebook.com/argentinaenpalmademallorca
CMDEO,Facebook,https://www.facebook.com/argentinaenmontevideo/
CMIAM,Facebook,https://es-la.facebook.com/consuladoargentino.miami/
CMILA,Facebook,https://www.facebook.com/consuladoargentinoenmilan
CMILA,Instagram,https://www.instagram.com/consuladoargentinoenmilan/
CMILA,Youtube,https://www.youtube.com/channel/uczdyen4gttyeyx15xxkunwq
CNYOR,Facebook,https://www.facebook.com/argennewyork
CNYOR,Instagram,https://www.instagram.com/argennewyork/
CNYOR,Twitter,https://twitter.com/argennewyork
CNYOR,Youtube,https://www.youtube.com/channel/ucjfygvt8lgeo1prqqshqmkg
CPMON,Facebook,https://www.facebook.com/argentinaenpuertomontt/
CRECI,Facebook,https://www.facebook.com/argentinaenbrasilrecife
CRECI,Instagram,https://www.instagram.com/consuladoargentinorecife
CRIOJ,Facebook,https://www.facebook.com/argentinaenriodejaneiro/
CSBAH,Facebook,https://www.facebook.com/argentinaensalvador
CSBAH,Instagram,https://www.instagram.com/argentinaensalvador
CSBAH,Twitter,https://twitter.com/argentinaenssa
CSCRS,Facebook,www.facebook.com/argensantacruz  de  la  sierra
CSIDN,Facebook,https://www.facebook.com/argentinaensidney/
CTENE,Facebook,www.facebook.com/argentinaentenerife
CTORO,Facebook,https://www.facebook.com/argentinaentoronto/
CTORO,Instagram,https://www.instagram.com/consuladoargtoronto/
CURUG,Facebook,https://www.facebook.com/argenuruguayana/
CURUG,Twitter,https://twitter.com/curugok
CVALP,Facebook,https://www.facebook.com/argentinaenvalparaiso
CVIGO,Facebook,facebook.com/argentinaenvigo
CVIGO,Instagram,https://www.instagram.com/argenvigo/
CVILL,Facebook,https://www.facebook.com/argenvillazon
EALEM,Facebook,https://www.facebook.com/argenalemania/
EANGO,Facebook,https://www.facebook.com/argentinaenangola/
EANGO,Instagram,https://www.instagram.com/embargentinaenangola/
EARAB,Facebook,https://www.facebook.com/argentinaenarabiasaudita/
EARAB,Instagram,https://www.instagram.com/arginsaudi/
EARAB,Twitter,https://twitter.com/ensaudita
EARGE,Facebook,facebook.com/argentinaenargelia
EARGE,Instagram,https://instagram.com/argenargelia
EARGE,Twitter,https://twitter.com/argenargelia
EARME,Facebook,https://www.facebook.com/argentinaenarmenia
EARME,Instagram,https://www.instagram.com/arginarmenia/
EARME,Twitter,https://twitter.com/arginarmenia
EASIR,Facebook,https://www.facebook.com/embajada-argentina-en-siria-112176794025495
EAUST,Facebook,https://www.facebook.com/argentinaenaustralia/
EAUST,Twitter,https://twitter.com/arginaustralia
EAZER,Facebook,https://www.facebook.com/embassyofargentina/
EAZER,Instagram,www.instagram.com/embargentinaaz
EAZER,Twitter,www.twitter.com/argenazer
EBARB,Facebook,https://www.facebook.com/argentinaenbarbados/
EBELG,Facebook,https://www.facebook.com/argentinaenbelgica/
EBELG,Instagram,https://www.instagram.com/argenbelgica/
EBRAS,Facebook,https://www.facebook.com/embargbrasil
EBRAS,Instagram,https://www.instagram.com/embaargenbrasil
EBRAS,Twitter,https://twitter.com/argentinaenbras
