sede_id,id_pais
CATLA,USA
CBARC,ESP
CCEST,PRY
CFBEN,URY
CGUAY,ECU
CLIMA,PER
CMADR,ESP
CNYOR,USA
CSIDN,AUS
CTENE,ESP
EALEM,DEU
EANGO,AGO
EECUA,ECU
EFILI,PHL
EIRLA,IRL
EJAPO,JPN
ELBNO,LBN
EMSUR,URY
ENORU,NOR
EPERU,PER
ERICA,CRI
ERUNI,GRB
ESURI,SUR
EUNES,FRA
CCOLO,URY
CGVAN,CAN
CJOHA,ZAF
CMALL,ESP
CMEXI,MEX
CPCAR,MEX
EHAIT,HTI
EHILE,CHL
EHOND,HND
EIRAN,IRN
EISIA,IDN
ELBIA,LBY
EMEXI,MEX
ENICA,NIC
EPBAJ,NLD
EPNMA,PAN
EPOLO,POL
EQATR,QAT
CGEST,TUR
CGUAN,CHN
CHAMB,DEU
CLOND,GRB
CMILA,ITA
EARAB,SAU
EBRAS,BRA
ECHIN,CHN
EFRAN,FRA
EFRUS,RUS
EITAL,ITA
EMARR,MAR
EMFAO,ITA
ENAUN,USA
ESERB,SRB
ETRIN,TTO
EURUG,URY
EVENE,VEN
EVIET,VNM
REPAL,PSE
CAREN,CHL
CCADI,ESP
CENCA,PRY
CGMUM,IND
CMIAM,USA
CSIGO,CHL
CTORO,CAN
CVILL,BOL
CYACU,BOL
EARGE,DZA
EBANG,BGD
ECANA,CAN
ECUBA,CUB
EESPA,ESP
EFINL,FIN
EGUAT,GTM
ENZEL,NZL
EOIRS,CHE
ESAFR,ZAF
CCONC,CHL
CGPAZ,BOL
CGTEL,ISR
CHOUS,USA
CMALD,URY
CMDEO,URY
CPABL,BRA
CRECI,BRA
CROMA,ITA
CVALP,CHL
EASIR,SYR
EAUST,AUS
EBARB,BRB
EBELG,BEL
EBULG,BGR
EEARB,ARE
EEEUU,USA
EETIO,ETH
EGREC,GRC
EISRA,ISR
EKENY,KEN
CANTO,CHL
CBEIJ,CHN
CCURI,BRA
CFRAN,DEU
CPMON,CHL
CSLTO,URY
DIGAC,ARG
EBOLV,BOL
ECEUR,BEL
ECOLO,COL
EDINA,DNK
EEOEA,USA
EGUYA,GUY
EJAMA,JAM
ESING,SGP
ETAIL,THA
ETUNE,TUN
CASUN,PRY
CBONN,DEU
CCHIC,USA
CCOCH,BOL
CLANG,USA
CMREA,CAN
CPAYS,URY
CRIOJ,BRA
CSBAH,BRA
CURUG,BRA
EARME,ARM
EAZER,AZE
EDOMI,DOM
EEGIP,EGY
EINDI,IND
EKUWA,KWT
EMSIA,MYS
ESALV,SLV
ESENE,SEN
ESSED,VAT
ETRIA,AUT
EUNGR,HUN
CALEG,BRA
CBELO,BRA
CFDIG,BRA
CFLOR,BRA
CHONG,CHN
CSCRS,BOL
CSHAN,CHN
CTARI,BOL
CVIGO,ESP
ECHES,CZE
ECORE,KOR
EMOZA,MOZ
ENIGE,NGA
EPAKI,PAK
EPARA,PRY
EPORT,PRT
ERUMA,ROU
ESUEC,SWE
ESUIZ,CHE
ETURQ,TUR
EUCRA,UKR
