sede_id,descripcion
ERUNI,administración
EGUAT,agregada  administrativa
EBRAS,agregado  militar  y  de  defensa
ESURI,agregaduria  de  defensa
EISRA,"agregaduría  de  defensa, militar, naval  y  aeronáutica"
EFILI,andrea  silvina  repetti
ETUNE,asuntos  culturales  
ETRIA,asuntos  onudi
EEEUU,consejería  agrícola
EJAPO,cooperación
EPORT,jefe  de  cancilleria
EBOLV,"mujeres, género, diversidad  y  medio  ambiente"
EBARB,sección  administrativa
CFRAN,sección  administrativa
EARME,sección  administrativa
EANGO,sección  administrativa
EQATR,seccion  administrativa
ECOLO,sección  administrativa
ESURI,sección  administrativa
EDINA,sección  comercial
EURUG,sección  comercial
CMIAM,sección  comercial  e  inversiones
EFRUS,sección  concurrencias
ESING,sección  consular
EDOMI,sección  consular
ERUMA,sección  consular
EEGIP,sección  consular
EPAKI,sección  consular
CSCRS,sección  consular
EEARB,sección  consular
ECUBA,sección  consular
CMILA,sección  consular  -  cónsul  adjunto  agustín  busignani  
EMEXI,sección  cultural
ECHES,sección  cultural
CFRAN,sección  cultural
EBELG,sección  cultural
ESURI,sección  cultural
EUCRA,sección  cultural
EEEUU,sección  cultural  y  de  diplomacia  pública
ESUEC,sección  cultural  y  de  prensa
ETRIA,sección  de  administración
EITAL,"sección  de  diplomacia  pública, comunicación  y  prensa"
CRIOJ,sección  económica  y  comercial
EALEM,sección  económica  y  comercial
EFRUS,sección  económica  y  comercial
EECUA,sección  económica  y  comercial
EEEUU,sección  económica  y  comercial
EKUWA,sección  económica  y  comercial
EHILE,sección  económica  y  comercial
EITAL,sección  económica  y  promoción  de  inversiones
ESUIZ,"sección  económica, comercial  y  de  inversiones"
ERUNI,"sección  económica, comercial  y  turismo"
CSHAN,sección  educativa
CNYOR,sección  notarial
ECORE,sección  política
EANGO,sección  política
EMEXI,sección  política
ETUNE,sección  política
ESURI,sección  política
EUCRA,sección  política
EBELG,sección  política
EBARB,sección  política
EISRA,sección  política  y  cultural
CRECI,sección  prensa
DITIC,sección  prueba
EMEXI,"secciones  cooperación, educación, turismo  y  belice"
EKENY,administración
EPORT,agregado  administrativo
ETAIL,agregado  administrativo
EBRAS,agregado  naval
ERUNI,"agregaduría  de  defensa, militar, naval  y  fuerza  aérea"
EBOLV,agregaduría  de  gendarmería  nacional  argentina  (gna)
CHONG,asuntos  consulares
CPCAR,cónsul  adjunto
EKENY,consular  
CGUAY,consular
ETUNE,cooperación  internacional
ERUNI,económica  y  comercial
ESSED,jefa  de  cancillería
EFILI,josefina  marcela  gallo  morando
ESALV,prensa
EEEUU,prensa
ETRIN,sección
CMIAM,sección  administración
EFRAN,sección  administrativa
EAUST,sección  administrativa
EGREC,sección  administrativa
ECEUR,sección  administrativa
EEEUU,sección  administrativa  y  recursos  humanos
EESPA,sección  administrativa  y  recursos  humanos
CCHIC,sección  consular
EISIA,sección  consular
EHOND,sección  consular
CRECI,sección  consular
CPABL,sección  consular
ETRIA,sección  consular
ELBNO,sección  consular
CMIAM,sección  consular  (notariales)
CTORO,seccion  cultural
CVIGO,sección  cultural
CRECI,sección  cultural  
EBRAS,sección  cultural
EGREC,sección  cultural
EFRAN,sección  cultural
EITAL,"sección  cultural, educación, ciencia  y  tecnología  "
EHAIT,sección  de  prensa
EJAPO,sección  económica  -  comercial  
EESPA,sección  económica  -  comercial
EETIO,sección  económica  y  comercial
EARGE,sección  económica  y  comercial
EMARR,sección  económica  y  comercial
ENZEL,sección  económica  y  comercial
ENIGE,sección  económica  y  comercial
ESAFR,sección  económica  y  comercial
EBOLV,"sección  económica, comercial, de  inversiones  y  turismo."
EAUST,sección  política
ECEUR,sección  política
EFRAN,"sección  política, asuntos  juridicos  y  derechos  humanos"
EPNMA,agregada  administrativa
CGUAY,agregado  consular
EHILE,agregaduria  aeronáutica
EHILE,agregaduría  de  defensa  y  aeronáutica
EBOLV,contabilidad  y  administración.
EHAIT,cooperación  internacional
EALEM,jefa  de  cancillería
ESSED,jefa  de  sección  secretaría  y  despacho
EQATR,jefe  de  cancillería
EFRUS,jefe  de  cancillería
EEEUU,jefe  de  cancillería
EHILE,jefe  de  cancillería
EMEXI,jefe  de  misión
DITIC,nueva
EKENY,política  y  cooperación    
ERUNI,protocolo
ESSED,"sección  administración, economato, contabilidad  e  inventario"
EVENE,sección  administrativa
ESERB,sección  administrativa
CBARC,"sección  comercial, turismo  e  inversiones"
EETIO,sección  consular
EARGE,sección  consular
ENZEL,sección  consular
EIRAN,sección  consular
EMOZA,sección  consular
EMARR,sección  consular
CBARC,sección  consular  (asistencia  al  ciudadano/visas)
CBARC,sección  consular  (opción  de  nacionalidad/notariales/itinerancias)
CMIAM,sección  consular  (trámites  generales)
CMILA,sección  consular:  cónsul  adjunto  lara  fazzolari
ECUBA,sección  cooperación
EFRAN,sección  cooperación  internacional
CBARC,"sección  cultura, educación  y  redes  sociales"
EIRLA,sección  cultural
EVENE,sección  cultural
ETURQ,sección  cultural
EJAMA,sección  cultural
CMIAM,sección  cultural
ESUIZ,sección  cultural
EAZER,sección  cultural
EBARB,sección  cultural  y  prensa
EANGO,sección  cultural  y  prensa
ECORE,sección  de  administración  
ETRIA,sección  de  ddhh  y  género
EMEXI,sección  de  prensa
EFRUS,sección  de  prensa  y  difusión
CCHIC,sección  económica  y  comercial
EINDI,sección  económica  y  comercial
CRECI,sección  económica  y  comercial
EISIA,sección  económica  y  comercial
EVIET,"sección  económica, comercial  y  de  inversiones"
EHOND,sección  encargado  cancillería
ESUIZ,sección  política
EVENE,sección  política
EIRLA,sección  política
EAZER,sección  política
EESPA,"sección  política, prensa  y  comunicación"
EECUA,sección  prensa
EHILE,sección  prensa
EECUA,administración  y  logística
ETURQ,agregada  para  asuntos  administrativos
EMEXI,"agregaduría  de  defensa, militar, naval  y  aeronáutica"
ECOLO,"agregaduría  de  defensa, militar, naval  y  aeronáutica"
EECUA,agregaduria  militar
EEEUU,agregaduria  militar
EHILE,agregaduria  militar
EFILI,ana  clara  pianezza  
ENIGE,asuntos  culturales  y  prensa
ECANA,jefe  de  cancillería
EMOZA,jefe  de  cancillería
ENIGE,jefe  de  cancillería
EITAL,jefe  de  cancillería
EPORT,jefe  de  sección  consular
EPORT,jefe  de  sección  económica  y  comercial
EFILI,mauricio  germán  muñoz
EMEXI,negociaciones  económicas  bilaterales
CGTEL,sección  administrativa
EDINA,sección  administrativa
EUNGR,sección  administrativa
